smp500,bitcoin
2012.66,433.85
2016.71,433.34
1990.26,430.87
1943.09,459.07
1922.03,454.44
1923.67,449.19
1938.68,434.01
1890.28,432.77
1921.84,430.03
1880.33,357.53
1881.33,375.27
1859.33,418.54
1868.99,409.38
1906.9,382.9
1877.08,391.4
1903.63,391.54
1882.95,394.79
1893.36,379.61
1940.24,378.68
1939.38,371.33
1903.03,372.93
1912.53,368.87
1915.45,387.99
1880.05,384.5
1853.44,371.14
1852.21,372.68
1851.86,378.44
1829.08,378.23
1864.78,382.05
1895.58,407.42
1926.82,415.2
1917.83,421.19
1917.78,420.72
1945.5,437.55
1921.27,419.97
1929.8,423.94
1951.7,423.54
1948.05,430.85
1932.23,436.44
1978.35,433.08
1986.45,420.39
1993.4,418.8
1999.99,407.35
2001.76,412.21
1979.26,411.18
1989.26,412.8
1989.57,415.98
2022.19,419.39
2019.64,415.02
2015.93,415.41
2027.22,416.07
2040.59,418.41
2049.58,409.65
2051.6,412.0
2049.8,416.66
2036.71,417.53
2035.94,412.95
2037.05,423.0
2055.01,416.39
2063.95,412.79
2059.74,416.03
2072.78,417.68
2066.13,419.47
2045.17,422.36
2066.66,421.46
2041.91,421.99
2047.6,419.48
2041.99,423.94
2061.72,427.8
2082.42,425.58
2082.78,426.32
2080.73,430.93
2094.34,430.97
2100.8,437.06
2102.4,442.96
2091.48,452.25
2091.58,448.41
2087.79,466.17
2091.7,470.59
2095.15,445.31
2075.81,451.68
2065.3,458.82
2081.43,446.42
2063.37,452.21
2051.12,448.68
2050.63,449.98
2057.14,462.31
2058.69,464.16
2084.39,452.78
2064.46,454.37
2064.11,456.48
2046.61,457.98
2066.66,455.66
2047.21,454.19
2047.63,455.56
2040.04,438.38
2052.32,445.65
2048.04,445.67
2076.06,446.99
2090.54,451.49
2090.1,454.97
2099.06,471.27
2096.95,531.34
2099.33,534.84
2105.26,537.87
2099.13,571.25
2109.41,586.77
2112.13,579.71
2119.12,583.21
2115.48,577.46
2096.07,580.31
2079.06,706.01
2075.32,684.95
2071.5,698.78
2077.99,769.76
2071.22,752.26
2083.25,703.12
2088.9,667.66
2085.45,604.5
2113.32,631.1
2037.41,669.98
2000.54,657.87
2036.09,648.43
2070.77,639.42
2098.86,673.49
2102.95,678.19
2088.55,669.87
2099.73,678.79
2097.9,641.97
2129.9,667.33
2137.16,650.97
2152.14,666.56
2152.43,655.34
2163.75,661.65
2161.74,667.48
2166.89,675.5
2163.78,673.98
2173.02,666.92
2165.17,667.28
2175.03,654.67
2168.48,657.79
2169.18,654.06
2166.58,657.35
2170.06,657.4
2173.6,657.0
2170.84,605.2
2157.03,537.47
2163.79,573.36
2164.25,587.5
2182.87,583.0
2180.89,591.48
2181.74,586.45
2175.49,594.94
2185.79,587.91
2184.05,587.74
2190.15,567.79
2178.15,579.02
2182.22,574.45
2187.02,574.09
2183.87,573.67
2182.64,585.2
2186.9,582.39
2175.44,578.47
2172.47,575.58
2169.04,579.29
2180.38,573.21
2176.12,574.95
2170.95,572.89
2170.86,573.02
2179.98,576.21
2186.48,612.99
2186.16,615.21
2181.3,627.97
2127.81,622.07
2159.04,606.74
2127.02,608.63
2125.77,608.43
2147.26,605.44
2139.16,607.93
2139.12,608.6
2139.76,605.6
2163.12,597.0
2177.18,596.21
2164.69,602.96
2146.1,607.08
2159.93,605.71
2171.37,605.04
2151.13,605.99
2168.27,608.99
2161.2,612.99
2150.49,610.34
2159.73,613.16
2160.77,611.88
2153.74,617.98
2163.66,618.72
2136.73,642.12
2139.18,635.79
2132.55,635.66
2132.98,638.03
2126.5,639.56
2139.6,635.11
2144.29,629.79
2141.34,628.05
2141.16,630.83
2151.33,649.98
2143.16,654.3
2139.43,674.0
2133.04,691.21
2126.41,689.95
2126.15,696.9
2111.72,730.7
2097.94,744.6
2088.66,690.0
2085.18,706.32
2131.52,706.42
2139.56,711.15
2163.26,720.97
2167.48,712.91
2164.45,716.9
2164.2,708.32
2180.39,712.29
2176.94,739.85
2187.12,730.71
2181.9,748.54
2198.18,736.4
2202.94,746.66
2204.72,741.52
2213.35,739.74
2201.72,729.77
2204.66,732.37
2198.81,742.69
2191.08,754.0
2191.95,769.25
2204.71,752.0
2212.23,759.8
2241.35,764.34
2246.19,767.89
2259.53,773.22
2256.96,778.94
2271.72,776.18
2253.28,777.66
2262.03,776.16
2258.07,780.98
2262.53,790.81
2270.76,798.99
2265.18,834.5
2260.96,856.02
2263.79,917.26
2268.88,925.2
2249.92,982.17
2249.26,970.72
2238.83,960.81
2257.83,1020.67
2270.75,1130.3
2269.0,1007.0
2276.98,895.71
2268.9,902.66
2268.9,907.0
2275.32,795.77
2270.44,812.25
2274.64,831.42
2267.89,906.0
2271.89,887.99
2263.69,902.92
2271.31,894.31
2265.2,910.7
2280.07,887.0
2298.37,896.0
2296.68,917.02
2294.69,922.63
2280.9,923.23
2278.87,970.01
2279.55,992.75
2280.85,1008.38
2297.42,1018.0
2292.56,1022.58
2293.08,1053.96
2294.67,1056.7
2307.87,994.24
2316.1,1001.99
2328.25,1002.82
2337.58,1013.92
2349.25,1014.53
2347.22,1038.94
2351.16,1057.3
2365.38,1128.29
2362.82,1128.71
2363.81,1186.9
2367.34,1186.91
2369.75,1195.81
